component,explained_variance_ratio,cumulative_explained_variance
PC344,2.4703323294609657e-05,0.996113993292143
PC345,2.4703323294609657e-05,0.9961386966154376
PC346,2.4703323294609657e-05,0.9961633999387323
PC347,2.4703323294609657e-05,0.9961881032620269
PC348,2.4703323294609657e-05,0.9962128065853215
PC349,2.4703323294609657e-05,0.9962375099086161
PC350,2.4703323294609657e-05,0.9962622132319108
PC351,2.4703323294609657e-05,0.9962869165552054
PC352,2.4703323294609657e-05,0.9963116198785
PC353,2.4703323294609657e-05,0.9963363232017947
PC354,2.4703323294609657e-05,0.9963610265250893
PC355,2.4703323294609657e-05,0.9963857298483839
PC356,2.4703323294609657e-05,0.9964104331716785
PC357,2.4703323294609657e-05,0.9964351364949732
PC358,2.4703323294609657e-05,0.9964598398182678
PC359,2.4703323294609657e-05,0.9964845431415624
PC360,2.4703323294609657e-05,0.9965092464648571
PC361,2.4703323294609657e-05,0.9965339497881517
PC362,2.4703323294609644e-05,0.9965586531114463
PC363,2.4703323294609644e-05,0.9965833564347409
PC364,2.4703323294609644e-05,0.9966080597580356
PC365,2.4703323294609644e-05,0.9966327630813302
PC366,2.4703323294609644e-05,0.9966574664046248
PC367,2.4703323294609644e-05,0.9966821697279195
PC368,2.4703323294609644e-05,0.9967068730512141
PC369,2.4703323294609644e-05,0.9967315763745087
PC370,2.4703323294609644e-05,0.9967562796978033
PC371,2.4703323294609644e-05,0.996780983021098
PC372,2.4703323294609644e-05,0.9968056863443926
PC373,2.4703323294609644e-05,0.9968303896676872
PC374,2.4703323294609644e-05,0.9968550929909819
